NewID,OriginalID,Goodsample,Cutoffmanual,gap_manual,species,donor,0h read 1,0h read2,2h read1,2h read2,8h read1,8h read2
StrainAtlasProphage_064,BA-01_F08,1,,,Bifidobacterium_adolescentis,H72,BP3_1_BA-01-0h_F08_R1_001.fastq.gz,BP3_1_BA-01-0h_F08_R2_001.fastq.gz,BP3_1_BA-01-2h_F08_R1_001.fastq.gz,BP3_1_BA-01-2h_F08_R2_001.fastq.gz,BP3_1_BA-01-8h_F08_R1_001.fastq.gz,BP3_1_BA-01-8h_F08_R2_001.fastq.gz
StrainAtlasProphage_065,BA-01_F09,1,,,Bifidobacterium_adolescentis,H108,BP3_1_BA-01-0h_F09_R1_001.fastq.gz,BP3_1_BA-01-0h_F09_R2_001.fastq.gz,BP3_1_BA-01-2h_F09_R1_001.fastq.gz,BP3_1_BA-01-2h_F09_R2_001.fastq.gz,BP3_1_BA-01-8h_F09_R1_001.fastq.gz,BP3_1_BA-01-8h_F09_R2_001.fastq.gz
StrainAtlasProphage_066,BA-01_F10,1,,,Bifidobacterium_adolescentis,H98,BP3_1_BA-01-0h_F10_R1_001.fastq.gz,BP3_1_BA-01-0h_F10_R2_001.fastq.gz,BP3_1_BA-01-2h_F10_R1_001.fastq.gz,BP3_1_BA-01-2h_F10_R2_001.fastq.gz,BP3_1_BA-01-8h_F10_R1_001.fastq.gz,BP3_1_BA-01-8h_F10_R2_001.fastq.gz
StrainAtlasProphage_067,BA-01_G01,1,,,Bifidobacterium_adolescentis,H241,BP3_1_BA-01-0h_G01_R1_001.fastq.gz,BP3_1_BA-01-0h_G01_R2_001.fastq.gz,BP3_1_BA-01-2h_G01_R1_001.fastq.gz,BP3_1_BA-01-2h_G01_R2_001.fastq.gz,BP3_1_BA-01-8h_G01_R1_001.fastq.gz,BP3_1_BA-01-8h_G01_R2_001.fastq.gz
StrainAtlasProphage_068,BA-01_G02,1,,,Bifidobacterium_adolescentis,H253,BP3_1_BA-01-0h_G02_R1_001.fastq.gz,BP3_1_BA-01-0h_G02_R2_001.fastq.gz,BP3_1_BA-01-2h_G02_R1_001.fastq.gz,BP3_1_BA-01-2h_G02_R2_001.fastq.gz,BP3_1_BA-01-8h_G02_R1_001.fastq.gz,BP3_1_BA-01-8h_G02_R2_001.fastq.gz
StrainAtlasProphage_069,BA-01_G03,1,,,Bifidobacterium_adolescentis,H257,BP3_1_BA-01-0h_G03_R1_001.fastq.gz,BP3_1_BA-01-0h_G03_R2_001.fastq.gz,BP3_1_BA-01-2h_G03_R1_001.fastq.gz,BP3_1_BA-01-2h_G03_R2_001.fastq.gz,BP3_1_BA-01-8h_G03_R1_001.fastq.gz,BP3_1_BA-01-8h_G03_R2_001.fastq.gz
StrainAtlasProphage_070,BA-01_G04,1,,,Bifidobacterium_adolescentis,H271,BP3_1_BA-01-0h_G04_R1_001.fastq.gz,BP3_1_BA-01-0h_G04_R2_001.fastq.gz,BP3_1_BA-01-2h_G04_R1_001.fastq.gz,BP3_1_BA-01-2h_G04_R2_001.fastq.gz,BP3_1_BA-01-8h_G04_R1_001.fastq.gz,BP3_1_BA-01-8h_G04_R2_001.fastq.gz
StrainAtlasProphage_071,BA-01_G05,1,,,Bifidobacterium_adolescentis,H320,BP3_1_BA-01-0h_G05_R1_001.fastq.gz,BP3_1_BA-01-0h_G05_R2_001.fastq.gz,BP3_1_BA-01-2h_G05_R1_001.fastq.gz,BP3_1_BA-01-2h_G05_R2_001.fastq.gz,BP3_1_BA-01-8h_G05_R1_001.fastq.gz,BP3_1_BA-01-8h_G05_R2_001.fastq.gz
StrainAtlasProphage_072,BA-01_G06,1,1.5,,Bifidobacterium_adolescentis,H345,BP3_1_BA-01-0h_G06_R1_001.fastq.gz,BP3_1_BA-01-0h_G06_R2_001.fastq.gz,BP3_1_BA-01-2h_G06_R1_001.fastq.gz,BP3_1_BA-01-2h_G06_R2_001.fastq.gz,BP3_1_BA-01-8h_G06_R1_001.fastq.gz,BP3_1_BA-01-8h_G06_R2_001.fastq.gz
StrainAtlasProphage_073,BA-01_G07,1,,,Bifidobacterium_adolescentis,H69,BP3_1_BA-01-0h_G07_R1_001.fastq.gz,BP3_1_BA-01-0h_G07_R2_001.fastq.gz,BP3_1_BA-01-2h_G07_R1_001.fastq.gz,BP3_1_BA-01-2h_G07_R2_001.fastq.gz,BP3_1_BA-01-8h_G07_R1_001.fastq.gz,BP3_1_BA-01-8h_G07_R2_001.fastq.gz
StrainAtlasProphage_074,BA-01_G08,1,,,Bifidobacterium_adolescentis,H63,BP3_1_BA-01-0h_G08_R1_001.fastq.gz,BP3_1_BA-01-0h_G08_R2_001.fastq.gz,BP3_1_BA-01-2h_G08_R1_001.fastq.gz,BP3_1_BA-01-2h_G08_R2_001.fastq.gz,BP3_1_BA-01-8h_G08_R1_001.fastq.gz,BP3_1_BA-01-8h_G08_R2_001.fastq.gz
StrainAtlasProphage_075,BA-01_G09,1,,,Bifidobacterium_adolescentis,H110,BP3_1_BA-01-0h_G09_R1_001.fastq.gz,BP3_1_BA-01-0h_G09_R2_001.fastq.gz,BP3_1_BA-01-2h_G09_R1_001.fastq.gz,BP3_1_BA-01-2h_G09_R2_001.fastq.gz,BP3_1_BA-01-8h_G09_R1_001.fastq.gz,BP3_1_BA-01-8h_G09_R2_001.fastq.gz
StrainAtlasProphage_076,BA-01_G10,1,,,Bifidobacterium_adolescentis,H95,BP3_1_BA-01-0h_G10_R1_001.fastq.gz,BP3_1_BA-01-0h_G10_R2_001.fastq.gz,BP3_1_BA-01-2h_G10_R1_001.fastq.gz,BP3_1_BA-01-2h_G10_R2_001.fastq.gz,BP3_1_BA-01-8h_G10_R1_001.fastq.gz,BP3_1_BA-01-8h_G10_R2_001.fastq.gz
StrainAtlasProphage_077,BA-01_G11,1,,,Bifidobacterium_adolescentis,H94,BP3_1_BA-01-0h_G11_R1_001.fastq.gz,BP3_1_BA-01-0h_G11_R2_001.fastq.gz,BP3_1_BA-01-2h_G11_R1_001.fastq.gz,BP3_1_BA-01-2h_G11_R2_001.fastq.gz,BP3_1_BA-01-8h_G11_R1_001.fastq.gz,BP3_1_BA-01-8h_G11_R2_001.fastq.gz
StrainAtlasProphage_078,BA-01_H02,1,,,Bifidobacterium_adolescentis,H254,BP3_1_BA-01-0h_H02_R1_001.fastq.gz,BP3_1_BA-01-0h_H02_R2_001.fastq.gz,BP3_1_BA-01-2h_H02_R1_001.fastq.gz,BP3_1_BA-01-2h_H02_R2_001.fastq.gz,BP3_1_BA-01-8h_H02_R1_001.fastq.gz,BP3_1_BA-01-8h_H02_R2_001.fastq.gz
StrainAtlasProphage_079,BA-01_H03,1,,,Bifidobacterium_adolescentis,H236,BP3_1_BA-01-0h_H03_R1_001.fastq.gz,BP3_1_BA-01-0h_H03_R2_001.fastq.gz,BP3_1_BA-01-2h_H03_R1_001.fastq.gz,BP3_1_BA-01-2h_H03_R2_001.fastq.gz,BP3_1_BA-01-8h_H03_R1_001.fastq.gz,BP3_1_BA-01-8h_H03_R2_001.fastq.gz
StrainAtlasProphage_080,BA-01_H04,1,,,Bifidobacterium_adolescentis,H285,BP3_1_BA-01-0h_H04_R1_001.fastq.gz,BP3_1_BA-01-0h_H04_R2_001.fastq.gz,BP3_1_BA-01-2h_H04_R1_001.fastq.gz,BP3_1_BA-01-2h_H04_R2_001.fastq.gz,BP3_1_BA-01-8h_H04_R1_001.fastq.gz,BP3_1_BA-01-8h_H04_R2_001.fastq.gz
StrainAtlasProphage_081,BA-01_H05,1,,,Bifidobacterium_adolescentis,H323,BP3_1_BA-01-0h_H05_R1_001.fastq.gz,BP3_1_BA-01-0h_H05_R2_001.fastq.gz,BP3_1_BA-01-2h_H05_R1_001.fastq.gz,BP3_1_BA-01-2h_H05_R2_001.fastq.gz,BP3_1_BA-01-8h_H05_R1_001.fastq.gz,BP3_1_BA-01-8h_H05_R2_001.fastq.gz
StrainAtlasProphage_082,BA-01_H06,1,,,Bifidobacterium_adolescentis,H349,BP3_1_BA-01-0h_H06_R1_001.fastq.gz,BP3_1_BA-01-0h_H06_R2_001.fastq.gz,BP3_1_BA-01-2h_H06_R1_001.fastq.gz,BP3_1_BA-01-2h_H06_R2_001.fastq.gz,BP3_1_BA-01-8h_H06_R1_001.fastq.gz,BP3_1_BA-01-8h_H06_R2_001.fastq.gz
StrainAtlasProphage_083,BA-01_H07,1,1.5,,Bifidobacterium_adolescentis,H83,BP3_1_BA-01-0h_H07_R1_001.fastq.gz,BP3_1_BA-01-0h_H07_R2_001.fastq.gz,BP3_1_BA-01-2h_H07_R1_001.fastq.gz,BP3_1_BA-01-2h_H07_R2_001.fastq.gz,BP3_1_BA-01-8h_H07_R1_001.fastq.gz,BP3_1_BA-01-8h_H07_R2_001.fastq.gz
StrainAtlasProphage_084,BA-01_H08,1,,,Bifidobacterium_adolescentis,P06,BP3_1_BA-01-0h_H08_R1_001.fastq.gz,BP3_1_BA-01-0h_H08_R2_001.fastq.gz,BP3_1_BA-01-2h_H08_R1_001.fastq.gz,BP3_1_BA-01-2h_H08_R2_001.fastq.gz,BP3_1_BA-01-8h_H08_R1_001.fastq.gz,BP3_1_BA-01-8h_H08_R2_001.fastq.gz
StrainAtlasProphage_085,BA-01_H09,1,,,Bifidobacterium_adolescentis,H91,BP3_1_BA-01-0h_H09_R1_001.fastq.gz,BP3_1_BA-01-0h_H09_R2_001.fastq.gz,BP3_1_BA-01-2h_H09_R1_001.fastq.gz,BP3_1_BA-01-2h_H09_R2_001.fastq.gz,BP3_1_BA-01-8h_H09_R1_001.fastq.gz,BP3_1_BA-01-8h_H09_R2_001.fastq.gz
StrainAtlasProphage_086,BA-01_H10,1,,,Bifidobacterium_adolescentis,H93,BP3_1_BA-01-0h_H10_R1_001.fastq.gz,BP3_1_BA-01-0h_H10_R2_001.fastq.gz,BP3_1_BA-01-2h_H10_R1_001.fastq.gz,BP3_1_BA-01-2h_H10_R2_001.fastq.gz,BP3_1_BA-01-8h_H10_R1_001.fastq.gz,BP3_1_BA-01-8h_H10_R2_001.fastq.gz
StrainAtlasProphage_087,BA-01_H11,1,,,Bifidobacterium_adolescentis,H98,BP3_1_BA-01-0h_H11_R1_001.fastq.gz,BP3_1_BA-01-0h_H11_R2_001.fastq.gz,BP3_1_BA-01-2h_H11_R1_001.fastq.gz,BP3_1_BA-01-2h_H11_R2_001.fastq.gz,BP3_1_BA-01-8h_H11_R1_001.fastq.gz,BP3_1_BA-01-8h_H11_R2_001.fastq.gz
StrainAtlasProphage_088,BP-2_FSA-147_A02,1,,,Alistipes_shahii,H103,BP3_1_FSA-147-0h_A02_R1_001.fastq.gz,BP3_1_FSA-147-0h_A02_R2_001.fastq.gz,BP3_1_FSA-147-2h_A02_R1_001.fastq.gz,BP3_1_FSA-147-2h_A02_R2_001.fastq.gz,BP3_1_FSA-147-8h_A02_R1_001.fastq.gz,BP3_1_FSA-147-8h_A02_R2_001.fastq.gz
StrainAtlasProphage_089,BP-2_FSA-147_A03,1,,,Bifidobacterium_longum,H104,BP3_1_FSA-147-0h_A03_R1_001.fastq.gz,BP3_1_FSA-147-0h_A03_R2_001.fastq.gz,BP3_1_FSA-147-2h_A03_R1_001.fastq.gz,BP3_1_FSA-147-2h_A03_R2_001.fastq.gz,BP3_1_FSA-147-8h_A03_R1_001.fastq.gz,BP3_1_FSA-147-8h_A03_R2_001.fastq.gz
StrainAtlasProphage_090,BP-2_FSA-147_A04,1,,,Bifidobacterium_longum,H104,BP3_1_FSA-147-0h_A04_R1_001.fastq.gz,BP3_1_FSA-147-0h_A04_R2_001.fastq.gz,BP3_1_FSA-147-2h_A04_R1_001.fastq.gz,BP3_1_FSA-147-2h_A04_R2_001.fastq.gz,BP3_1_FSA-147-8h_A04_R1_001.fastq.gz,BP3_1_FSA-147-8h_A04_R2_001.fastq.gz
StrainAtlasProphage_091,BP-2_FSA-147_A05,1,,,Bariatricus_comes,H105,BP3_1_FSA-147-0h_A05_R1_001.fastq.gz,BP3_1_FSA-147-0h_A05_R2_001.fastq.gz,BP3_1_FSA-147-2h_A05_R1_001.fastq.gz,BP3_1_FSA-147-2h_A05_R2_001.fastq.gz,BP3_1_FSA-147-8h_A05_R1_001.fastq.gz,BP3_1_FSA-147-8h_A05_R2_001.fastq.gz
StrainAtlasProphage_092,BP-2_FSA-147_A07,1,,,Bifidobacterium_bifidum,H101,BP3_1_FSA-147-0h_A07_R1_001.fastq.gz,BP3_1_FSA-147-0h_A07_R2_001.fastq.gz,BP3_1_FSA-147-2h_A07_R1_001.fastq.gz,BP3_1_FSA-147-2h_A07_R2_001.fastq.gz,BP3_1_FSA-147-8h_A07_R1_001.fastq.gz,BP3_1_FSA-147-8h_A07_R2_001.fastq.gz
StrainAtlasProphage_093,BP-2_FSA-147_A08,1,,,Bifidobacterium_adolescentis,H101,BP3_1_FSA-147-0h_A08_R1_001.fastq.gz,BP3_1_FSA-147-0h_A08_R2_001.fastq.gz,BP3_1_FSA-147-2h_A08_R1_001.fastq.gz,BP3_1_FSA-147-2h_A08_R2_001.fastq.gz,BP3_1_FSA-147-8h_A08_R1_001.fastq.gz,BP3_1_FSA-147-8h_A08_R2_001.fastq.gz
StrainAtlasProphage_094,BP-2_FSA-147_A09,1,,,Bifidobacterium_adolescentis,H102,BP3_1_FSA-147-0h_A09_R1_001.fastq.gz,BP3_1_FSA-147-0h_A09_R2_001.fastq.gz,BP3_1_FSA-147-2h_A09_R1_001.fastq.gz,BP3_1_FSA-147-2h_A09_R2_001.fastq.gz,BP3_1_FSA-147-8h_A09_R1_001.fastq.gz,BP3_1_FSA-147-8h_A09_R2_001.fastq.gz
StrainAtlasProphage_095,BP-2_FSA-147_A11,1,,,Collinsella_aerofaciens_J,H26,BP3_1_FSA-147-0h_A11_R1_001.fastq.gz,BP3_1_FSA-147-0h_A11_R2_001.fastq.gz,BP3_1_FSA-147-2h_A11_R1_001.fastq.gz,BP3_1_FSA-147-2h_A11_R2_001.fastq.gz,BP3_1_FSA-147-8h_A11_R1_001.fastq.gz,BP3_1_FSA-147-8h_A11_R2_001.fastq.gz
StrainAtlasProphage_096,BP-2_FSA-147_A12,1,,,Bifidobacterium_longum,H26,BP3_1_FSA-147-0h_A12_R1_001.fastq.gz,BP3_1_FSA-147-0h_A12_R2_001.fastq.gz,BP3_1_FSA-147-2h_A12_R1_001.fastq.gz,BP3_1_FSA-147-2h_A12_R2_001.fastq.gz,BP3_1_FSA-147-8h_A12_R1_001.fastq.gz,BP3_1_FSA-147-8h_A12_R2_001.fastq.gz
StrainAtlasProphage_097,BP-2_FSA-147_B01,1,,,Bacillus_J_thermoamylovorans,H103,BP3_1_FSA-147-0h_B01_R1_001.fastq.gz,BP3_1_FSA-147-0h_B01_R2_001.fastq.gz,BP3_1_FSA-147-2h_B01_R1_001.fastq.gz,BP3_1_FSA-147-2h_B01_R2_001.fastq.gz,BP3_1_FSA-147-8h_B01_R1_001.fastq.gz,BP3_1_FSA-147-8h_B01_R2_001.fastq.gz
StrainAtlasProphage_098,BP-2_FSA-147_B02,1,,,Collinsella_sp900542555,H103,BP3_1_FSA-147-0h_B02_R1_001.fastq.gz,BP3_1_FSA-147-0h_B02_R2_001.fastq.gz,BP3_1_FSA-147-2h_B02_R1_001.fastq.gz,BP3_1_FSA-147-2h_B02_R2_001.fastq.gz,BP3_1_FSA-147-8h_B02_R1_001.fastq.gz,BP3_1_FSA-147-8h_B02_R2_001.fastq.gz
StrainAtlasProphage_099,BP-2_FSA-147_B03,1,,,Eggerthella_lenta,H104,BP3_1_FSA-147-0h_B03_R1_001.fastq.gz,BP3_1_FSA-147-0h_B03_R2_001.fastq.gz,BP3_1_FSA-147-2h_B03_R1_001.fastq.gz,BP3_1_FSA-147-2h_B03_R2_001.fastq.gz,BP3_1_FSA-147-8h_B03_R1_001.fastq.gz,BP3_1_FSA-147-8h_B03_R2_001.fastq.gz
StrainAtlasProphage_100,BP-2_FSA-147_B04,1,,,Escherichia_coli,H104,BP3_1_FSA-147-0h_B04_R1_001.fastq.gz,BP3_1_FSA-147-0h_B04_R2_001.fastq.gz,BP3_1_FSA-147-2h_B04_R1_001.fastq.gz,BP3_1_FSA-147-2h_B04_R2_001.fastq.gz,BP3_1_FSA-147-8h_B04_R1_001.fastq.gz,BP3_1_FSA-147-8h_B04_R2_001.fastq.gz
StrainAtlasProphage_101,BP-2_FSA-147_B05,1,,,Collinsella_aerofaciens_A,H105,BP3_1_FSA-147-0h_B05_R1_001.fastq.gz,BP3_1_FSA-147-0h_B05_R2_001.fastq.gz,BP3_1_FSA-147-2h_B05_R1_001.fastq.gz,BP3_1_FSA-147-2h_B05_R2_001.fastq.gz,BP3_1_FSA-147-8h_B05_R1_001.fastq.gz,BP3_1_FSA-147-8h_B05_R2_001.fastq.gz
StrainAtlasProphage_102,BP-2_FSA-147_B06,1,,,Bifidobacterium_longum,H105,BP3_1_FSA-147-0h_B06_R1_001.fastq.gz,BP3_1_FSA-147-0h_B06_R2_001.fastq.gz,BP3_1_FSA-147-2h_B06_R1_001.fastq.gz,BP3_1_FSA-147-2h_B06_R2_001.fastq.gz,BP3_1_FSA-147-8h_B06_R1_001.fastq.gz,BP3_1_FSA-147-8h_B06_R2_001.fastq.gz
StrainAtlasProphage_103,BP-2_FSA-147_B08,1,,,Bifidobacterium_adolescentis,H101,BP3_1_FSA-147-0h_B08_R1_001.fastq.gz,BP3_1_FSA-147-0h_B08_R2_001.fastq.gz,BP3_1_FSA-147-2h_B08_R1_001.fastq.gz,BP3_1_FSA-147-2h_B08_R2_001.fastq.gz,BP3_1_FSA-147-8h_B08_R1_001.fastq.gz,BP3_1_FSA-147-8h_B08_R2_001.fastq.gz
StrainAtlasProphage_104,BP-2_FSA-147_B10,1,,,Enterococcus_B_faecium,H102,BP3_1_FSA-147-0h_B10_R1_001.fastq.gz,BP3_1_FSA-147-0h_B10_R2_001.fastq.gz,BP3_1_FSA-147-2h_B10_R1_001.fastq.gz,BP3_1_FSA-147-2h_B10_R2_001.fastq.gz,BP3_1_FSA-147-8h_B10_R1_001.fastq.gz,BP3_1_FSA-147-8h_B10_R2_001.fastq.gz
StrainAtlasProphage_105,BP-2_FSA-147_B11,1,,,Enterococcus_B_lactis,H26,BP3_1_FSA-147-0h_B11_R1_001.fastq.gz,BP3_1_FSA-147-0h_B11_R2_001.fastq.gz,BP3_1_FSA-147-2h_B11_R1_001.fastq.gz,BP3_1_FSA-147-2h_B11_R2_001.fastq.gz,BP3_1_FSA-147-8h_B11_R1_001.fastq.gz,BP3_1_FSA-147-8h_B11_R2_001.fastq.gz
StrainAtlasProphage_106,BP-2_FSA-147_B12,1,,,Bifidobacterium_longum,H26,BP3_1_FSA-147-0h_B12_R1_001.fastq.gz,BP3_1_FSA-147-0h_B12_R2_001.fastq.gz,BP3_1_FSA-147-2h_B12_R1_001.fastq.gz,BP3_1_FSA-147-2h_B12_R2_001.fastq.gz,BP3_1_FSA-147-8h_B12_R1_001.fastq.gz,BP3_1_FSA-147-8h_B12_R2_001.fastq.gz
StrainAtlasProphage_107,BP-2_FSA-147_C01,1,,,Citrobacter_freundii,H103,BP3_1_FSA-147-0h_C01_R1_001.fastq.gz,BP3_1_FSA-147-0h_C01_R2_001.fastq.gz,BP3_1_FSA-147-2h_C01_R1_001.fastq.gz,BP3_1_FSA-147-2h_C01_R2_001.fastq.gz,BP3_1_FSA-147-8h_C01_R1_001.fastq.gz,BP3_1_FSA-147-8h_C01_R2_001.fastq.gz
StrainAtlasProphage_108,BP-2_FSA-147_C02,1,,,Bacteroides_uniformis,H103,BP3_1_FSA-147-0h_C02_R1_001.fastq.gz,BP3_1_FSA-147-0h_C02_R2_001.fastq.gz,BP3_1_FSA-147-2h_C02_R1_001.fastq.gz,BP3_1_FSA-147-2h_C02_R2_001.fastq.gz,BP3_1_FSA-147-8h_C02_R1_001.fastq.gz,BP3_1_FSA-147-8h_C02_R2_001.fastq.gz
StrainAtlasProphage_109,BP-2_FSA-147_C04,1,,,Collinsella_aerofaciens_P,H104,BP3_1_FSA-147-0h_C04_R1_001.fastq.gz,BP3_1_FSA-147-0h_C04_R2_001.fastq.gz,BP3_1_FSA-147-2h_C04_R1_001.fastq.gz,BP3_1_FSA-147-2h_C04_R2_001.fastq.gz,BP3_1_FSA-147-8h_C04_R1_001.fastq.gz,BP3_1_FSA-147-8h_C04_R2_001.fastq.gz
StrainAtlasProphage_110,BP-2_FSA-147_C05,1,,,Bacteroides_uniformis,H105,BP3_1_FSA-147-0h_C05_R1_001.fastq.gz,BP3_1_FSA-147-0h_C05_R2_001.fastq.gz,BP3_1_FSA-147-2h_C05_R1_001.fastq.gz,BP3_1_FSA-147-2h_C05_R2_001.fastq.gz,BP3_1_FSA-147-8h_C05_R1_001.fastq.gz,BP3_1_FSA-147-8h_C05_R2_001.fastq.gz
StrainAtlasProphage_111,BP-2_FSA-147_C06,1,,,Bacteroides_fragilis_A,H105,BP3_1_FSA-147-0h_C06_R1_001.fastq.gz,BP3_1_FSA-147-0h_C06_R2_001.fastq.gz,BP3_1_FSA-147-2h_C06_R1_001.fastq.gz,BP3_1_FSA-147-2h_C06_R2_001.fastq.gz,BP3_1_FSA-147-8h_C06_R1_001.fastq.gz,BP3_1_FSA-147-8h_C06_R2_001.fastq.gz
StrainAtlasProphage_112,BP-2_FSA-147_C08,1,,,Bifidobacterium_adolescentis,H101,BP3_1_FSA-147-0h_C08_R1_001.fastq.gz,BP3_1_FSA-147-0h_C08_R2_001.fastq.gz,BP3_1_FSA-147-2h_C08_R1_001.fastq.gz,BP3_1_FSA-147-2h_C08_R2_001.fastq.gz,BP3_1_FSA-147-8h_C08_R1_001.fastq.gz,BP3_1_FSA-147-8h_C08_R2_001.fastq.gz
StrainAtlasProphage_113,BP-2_FSA-147_C11,1,,,Bifidobacterium_longum,H26,BP3_1_FSA-147-0h_C11_R1_001.fastq.gz,BP3_1_FSA-147-0h_C11_R2_001.fastq.gz,BP3_1_FSA-147-2h_C11_R1_001.fastq.gz,BP3_1_FSA-147-2h_C11_R2_001.fastq.gz,BP3_1_FSA-147-8h_C11_R1_001.fastq.gz,BP3_1_FSA-147-8h_C11_R2_001.fastq.gz
StrainAtlasProphage_114,BP-2_FSA-147_C12,1,,,Collinsella_sp900759565,H26,BP3_1_FSA-147-0h_C12_R1_001.fastq.gz,BP3_1_FSA-147-0h_C12_R2_001.fastq.gz,BP3_1_FSA-147-2h_C12_R1_001.fastq.gz,BP3_1_FSA-147-2h_C12_R2_001.fastq.gz,BP3_1_FSA-147-8h_C12_R1_001.fastq.gz,BP3_1_FSA-147-8h_C12_R2_001.fastq.gz
StrainAtlasProphage_115,BP-2_FSA-147_D01,1,,,Desulfovibrio_sp900243745,H103,BP3_1_FSA-147-0h_D01_R1_001.fastq.gz,BP3_1_FSA-147-0h_D01_R2_001.fastq.gz,BP3_1_FSA-147-2h_D01_R1_001.fastq.gz,BP3_1_FSA-147-2h_D01_R2_001.fastq.gz,BP3_1_FSA-147-8h_D01_R1_001.fastq.gz,BP3_1_FSA-147-8h_D01_R2_001.fastq.gz
StrainAtlasProphage_116,BP-2_FSA-147_D03,1,,,Bifidobacterium_longum,H104,BP3_1_FSA-147-0h_D03_R1_001.fastq.gz,BP3_1_FSA-147-0h_D03_R2_001.fastq.gz,BP3_1_FSA-147-2h_D03_R1_001.fastq.gz,BP3_1_FSA-147-2h_D03_R2_001.fastq.gz,BP3_1_FSA-147-8h_D03_R1_001.fastq.gz,BP3_1_FSA-147-8h_D03_R2_001.fastq.gz
StrainAtlasProphage_117,BP-2_FSA-147_D04,1,,,Bifidobacterium_longum,H104,BP3_1_FSA-147-0h_D04_R1_001.fastq.gz,BP3_1_FSA-147-0h_D04_R2_001.fastq.gz,BP3_1_FSA-147-2h_D04_R1_001.fastq.gz,BP3_1_FSA-147-2h_D04_R2_001.fastq.gz,BP3_1_FSA-147-8h_D04_R1_001.fastq.gz,BP3_1_FSA-147-8h_D04_R2_001.fastq.gz
StrainAtlasProphage_118,BP-2_FSA-147_D05,1,,,Bifidobacterium_adolescentis,H105,BP3_1_FSA-147-0h_D05_R1_001.fastq.gz,BP3_1_FSA-147-0h_D05_R2_001.fastq.gz,BP3_1_FSA-147-2h_D05_R1_001.fastq.gz,BP3_1_FSA-147-2h_D05_R2_001.fastq.gz,BP3_1_FSA-147-8h_D05_R1_001.fastq.gz,BP3_1_FSA-147-8h_D05_R2_001.fastq.gz
StrainAtlasProphage_119,BP-2_FSA-147_D06,1,,,Bariatricus_comes,H105,BP3_1_FSA-147-0h_D06_R1_001.fastq.gz,BP3_1_FSA-147-0h_D06_R2_001.fastq.gz,BP3_1_FSA-147-2h_D06_R1_001.fastq.gz,BP3_1_FSA-147-2h_D06_R2_001.fastq.gz,BP3_1_FSA-147-8h_D06_R1_001.fastq.gz,BP3_1_FSA-147-8h_D06_R2_001.fastq.gz
StrainAtlasProphage_120,BP-2_FSA-147_D07,1,,,Bifidobacterium_adolescentis,H101,BP3_1_FSA-147-0h_D07_R1_001.fastq.gz,BP3_1_FSA-147-0h_D07_R2_001.fastq.gz,BP3_1_FSA-147-2h_D07_R1_001.fastq.gz,BP3_1_FSA-147-2h_D07_R2_001.fastq.gz,BP3_1_FSA-147-8h_D07_R1_001.fastq.gz,BP3_1_FSA-147-8h_D07_R2_001.fastq.gz
StrainAtlasProphage_121,BP-2_FSA-147_D08,1,,,Bifidobacterium_adolescentis,H101,BP3_1_FSA-147-0h_D08_R1_001.fastq.gz,BP3_1_FSA-147-0h_D08_R2_001.fastq.gz,BP3_1_FSA-147-2h_D08_R1_001.fastq.gz,BP3_1_FSA-147-2h_D08_R2_001.fastq.gz,BP3_1_FSA-147-8h_D08_R1_001.fastq.gz,BP3_1_FSA-147-8h_D08_R2_001.fastq.gz
StrainAtlasProphage_122,BP-2_FSA-147_D09,1,,,Bifidobacterium_longum,H102,BP3_1_FSA-147-0h_D09_R1_001.fastq.gz,BP3_1_FSA-147-0h_D09_R2_001.fastq.gz,BP3_1_FSA-147-2h_D09_R1_001.fastq.gz,BP3_1_FSA-147-2h_D09_R2_001.fastq.gz,BP3_1_FSA-147-8h_D09_R1_001.fastq.gz,BP3_1_FSA-147-8h_D09_R2_001.fastq.gz
StrainAtlasProphage_123,BP-2_FSA-147_D10,1,,,Streptococcus_parasanguinis,H102,BP3_1_FSA-147-0h_D10_R1_001.fastq.gz,BP3_1_FSA-147-0h_D10_R2_001.fastq.gz,BP3_1_FSA-147-2h_D10_R1_001.fastq.gz,BP3_1_FSA-147-2h_D10_R2_001.fastq.gz,BP3_1_FSA-147-8h_D10_R1_001.fastq.gz,BP3_1_FSA-147-8h_D10_R2_001.fastq.gz
StrainAtlasProphage_124,BP-2_FSA-147_D11,1,,,Collinsella_sp900545665,H26,BP3_1_FSA-147-0h_D11_R1_001.fastq.gz,BP3_1_FSA-147-0h_D11_R2_001.fastq.gz,BP3_1_FSA-147-2h_D11_R1_001.fastq.gz,BP3_1_FSA-147-2h_D11_R2_001.fastq.gz,BP3_1_FSA-147-8h_D11_R1_001.fastq.gz,BP3_1_FSA-147-8h_D11_R2_001.fastq.gz
StrainAtlasProphage_125,BP-2_FSA-147_D12,1,,,Bifidobacterium_adolescentis,H26,BP3_1_FSA-147-0h_D12_R1_001.fastq.gz,BP3_1_FSA-147-0h_D12_R2_001.fastq.gz,BP3_1_FSA-147-2h_D12_R1_001.fastq.gz,BP3_1_FSA-147-2h_D12_R2_001.fastq.gz,BP3_1_FSA-147-8h_D12_R1_001.fastq.gz,BP3_1_FSA-147-8h_D12_R2_001.fastq.gz
